"C(2,11,2)","166"
"C(5,10,7)","385"
"C(2,7,4)","127"
"C(3,9,2)","224"
"C(2,11,4)","168"
"C(1,4,0)","38"
"C(2,11,3)","167"
"C(4,9,2)","297"
"C(1,8,8)","67"
"C(2,11,7)","171"
"C(2,11,9)","173"
"C(3,9,8)","236"
"C(3,11,4)","244"
"C(2,11,10)","174"
"C(2,8,3)","141"
"C(3,2,1)","177"
"C(3,2,0)","180"
"C(3,11,7)","247"
"C(3,3,3)","183"
"C(3,4,0)","185"
"C(5,4,0)","330"
"C(3,4,1)","187"
"C(4,9,4)","299"
"C(3,1,0)","176"
"C(3,4,3)","191"
"C(3,5,5)","194"
"C(3,5,0)","195"
"C(2,10,0)","164"
"C(3,6,1)","196"
"C(4,10,9)","314"
"C(3,6,2)","197"
"C(3,4,4)","193"
"C(3,7,7)","209"
"C(3,6,0)","202"
"C(3,8,1)","211"
"C(2,9,7)","148"
"C(3,11,5)","245"
"C(3,8,2)","212"
"C(3,8,5)","215"
"C(3,8,6)","216"
"C(1,9,4)","72"
"C(1,6,4)","48"
"C(3,8,8)","218"
"C(3,9,5)","230"
"C(3,8,0)","219"
"C(5,9,8)","368"
"O(5,2)","18"
"C(3,10,1)","221"
"C(3,9,1)","222"
"C(3,10,3)","225"
"C(2,4,4)","112"
"C(3,9,3)","226"
"C(5,11,11)","392"
"C(3,10,4)","227"
"C(3,10,5)","229"
"C(3,9,7)","234"
"C(5,5,0)","336"
"C(3,10,6)","231"
"C(2,9,4)","142"
"C(3,11,6)","246"
"C(3,10,10)","239"
"C(2,11,11)","175"
"C(3,10,7)","233"
"O(2,2)","1"
"C(3,10,8)","235"
"C(3,10,9)","237"
"C(1,11,9)","98"
"C(3,2,2)","179"
"C(3,10,0)","240"
"C(3,11,1)","241"
"O(3,2)","12"
"C(3,11,2)","242"
"C(3,11,8)","248"
"C(2,11,1)","165"
"C(3,11,9)","249"
"C(4,7,6)","291"
"C(3,11,10)","250"
"C(4,1,1)","254"
"C(4,2,1)","253"
